fid;FUNOGBUD_BZPL;FUNSZCZ_BZPL;FUNOGBUD_PL;FUNSZCZ_PL
70685;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
35601;Budynki Biurowe;Placowka Operatora Pocztowego;Budynki Biurowe;Placówka Operatora Pocztowego
36189;Budynki Handlowo Uslugowe;Hala Wystawowa;Budynki Handlowo Usługowe;Hala Wystawowa
4401;Budynki Handlowo Uslugowe;Hala Wystawowa;Budynki Handlowo Usługowe;Hala Wystawowa
4266;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
64870;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
36128;Budynki Przemyslowe;Produkcyjny, Stacja Transformatorowa;Budynki Przemysłowe;Produkcyjny, Stacja Transformatorowa
35087;Ogolnodostepne Obiekty Kulturalne;Klub Dyskoteka, Szkola Wyzsza;Ogólnodostępne Obiekty Kulturalne;Klub Dyskoteka, Szkoła Wyższa
34013;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
63247;Zbiornik Silos I Budynki Magazynowe;Magazyn;Zbiornik Silos I Budynki Magazynowe;Magazyn
27867;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
28097;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
35398;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
36558;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
62820;Budynki Kultu Religijnego;Kaplica;Budynki Kultu Religijnego;Kaplica
13640;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
3649;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
67078;Budynki Muzeow I Bibliotek;Archiwum;Budynki Muzeów I Bibliotek;Archiwum
24650;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
35219;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
34010;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
44762;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
11392;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
70680;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
44749;Budynki Biurowe;Bank;Budynki Biurowe;Bank
20437;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
39244;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
70697;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa, Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa, Szkoła Wyższa
70695;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa, Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa, Szkoła Wyższa
64170;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa, Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa, Szkoła Wyższa
